Runtime,Architecture,Image,Platform,Iteration,Start Timestamp,Pull Complete Timestamp,Execution Complete Timestamp,Pull Time (s),Container Start to Main Time (s),Main to Elapsed Time (s),Total Execution Time (s),Host Size (MB),WASM_Runtime
docker,ARM64,docker.io/matsbror/massive-sqlite-native:1.1,linux/arm64,1,1754381920,1754381923,1754381924,2.333,0.567,0.234,1.084,3.02,
docker,ARM64,docker.io/matsbror/massive-sqlite-native:1.1,linux/arm64,2,1754381924,1754381927,1754381928,2.614,0.889,0.231,0.951,3.02,
docker,ARM64,docker.io/matsbror/massive-sqlite-native:1.1,linux/arm64,3,1754381929,1754381931,1754381932,2.135,0.806,0.239,1.047,3.02,
docker,ARM64,docker.io/matsbror/massive-sqlite-native:1.1,linux/arm64,4,1754381933,1754381935,1754381936,2.131,0.701,0.234,1.044,3.02,
docker,ARM64,docker.io/matsbror/massive-sqlite-native:1.1,linux/arm64,5,1754381937,1754381939,1754381940,2.149,0.705,0.23,1.091,3.02,
docker,ARM64,docker.io/matsbror/massive-sqlite-native:1.1,linux/arm64,6,1754381940,1754381943,1754381944,2.148,0.602,0.232,0.997,3.02,
docker,ARM64,docker.io/matsbror/massive-sqlite-native:1.1,linux/arm64,7,1754381944,1754381946,1754381948,2.114,1.481,0.232,1.058,3.02,
docker,ARM64,docker.io/matsbror/massive-sqlite-native:1.1,linux/arm64,8,1754381948,1754381951,1754381952,2.219,0.49,0.231,1.041,3.02,
docker,ARM64,docker.io/matsbror/massive-sqlite-native:1.1,linux/arm64,9,1754381952,1754381954,1754381955,2.184,1.435,0.244,1.037,3.02,
docker,ARM64,docker.io/matsbror/massive-sqlite-native:1.1,linux/arm64,10,1754381956,1754381959,1754381960,2.475,0.7,0.243,1.118,3.02,
containerd,ARM64,docker.io/matsbror/massive-sqlite-native:1.1,linux/arm64,1,1754381965,1754381967,1754381968,2.139,0.972,0.23,0.572,0.0,
containerd,ARM64,docker.io/matsbror/massive-sqlite-native:1.1,linux/arm64,2,1754381969,1754381971,1754381971,2.077,0.467,0.23,0.547,0.0,
containerd,ARM64,docker.io/matsbror/massive-sqlite-native:1.1,linux/arm64,3,1754381972,1754381974,1754381975,1.936,0.871,0.229,0.586,0.0,
containerd,ARM64,docker.io/matsbror/massive-sqlite-native:1.1,linux/arm64,4,1754381976,1754381978,1754381978,2.043,0.412,0.229,0.586,0.0,
containerd,ARM64,docker.io/matsbror/massive-sqlite-native:1.1,linux/arm64,5,1754381979,1754381981,1754381982,2.082,0.966,0.229,0.566,0.0,
containerd,ARM64,docker.io/matsbror/massive-sqlite-native:1.1,linux/arm64,6,1754381983,1754381985,1754381985,2.064,0.491,0.228,0.582,0.0,
containerd,ARM64,docker.io/matsbror/massive-sqlite-native:1.1,linux/arm64,7,1754381986,1754381988,1754381989,1.976,0.958,0.23,0.567,0.0,
containerd,ARM64,docker.io/matsbror/massive-sqlite-native:1.1,linux/arm64,8,1754381990,1754381992,1754381993,2.175,0.616,0.229,0.594,0.0,
containerd,ARM64,docker.io/matsbror/massive-sqlite-native:1.1,linux/arm64,9,1754381993,1754381995,1754381996,1.968,1.072,0.229,0.584,0.0,
containerd,ARM64,docker.io/matsbror/massive-sqlite-native:1.1,linux/arm64,10,1754381997,1754381999,1754382000,2.086,0.619,0.229,0.581,0.0,
docker,ARM64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,1,1754382000,1754382003,1754382005,2.992,1.918,0.386,1.888,1.64,
docker,ARM64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,2,1754382006,1754382008,1754382010,1.869,1.394,0.387,1.858,1.64,
docker,ARM64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,3,1754382010,1754382012,1754382014,1.73,1.674,0.384,1.83,1.64,
docker,ARM64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,4,1754382015,1754382016,1754382018,1.798,2.058,0.387,1.829,1.64,
docker,ARM64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,5,1754382019,1754382021,1754382023,1.788,1.39,0.387,1.836,1.64,
docker,ARM64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,6,1754382023,1754382025,1754382027,1.806,1.846,0.39,1.897,1.64,
docker,ARM64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,7,1754382028,1754382030,1754382031,1.781,1.23,0.387,1.813,1.64,
docker,ARM64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,8,1754382032,1754382034,1754382036,1.792,1.59,0.392,1.883,1.64,
docker,ARM64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,9,1754382037,1754382038,1754382040,1.731,1.946,0.391,1.877,1.64,
docker,ARM64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,10,1754382041,1754382043,1754382045,1.78,1.306,0.389,1.828,1.64,
containerd,ARM64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,1,1754382045,1754382048,1754382049,2.231,0.798,0.386,1.294,0.0,
containerd,ARM64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,2,1754382050,1754382052,1754382053,2.033,0.998,0.385,1.276,0.0,
containerd,ARM64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,3,1754382054,1754382056,1754382057,2.065,1.254,0.384,1.328,0.0,
containerd,ARM64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,4,1754382058,1754382060,1754382061,1.928,1.41,0.383,1.329,0.0,
containerd,ARM64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,5,1754382062,1754382064,1754382066,1.924,1.538,0.389,1.305,0.0,
containerd,ARM64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,6,1754382066,1754382069,1754382070,2.039,0.754,0.389,1.288,0.0,
containerd,ARM64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,7,1754382071,1754382073,1754382074,1.958,0.874,0.389,1.277,0.0,
containerd,ARM64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,8,1754382075,1754382077,1754382078,1.931,1.002,0.387,1.327,0.0,
containerd,ARM64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,9,1754382079,1754382081,1754382082,2.132,1.402,0.384,1.373,0.0,
containerd,ARM64,docker.io/matsbror/massive-sqlite-wasm:1.1,wasm,10,1754382083,1754382085,1754382087,2.016,1.602,0.389,1.347,0.0,
docker,RISCV64,docker.io/matsbror/massive-sqlite-native:1.1,linux/riscv64,1,1754399636,1754399639,1754399645,2.814,4.373,1.266,5.97,2.63,
docker,RISCV64,docker.io/matsbror/massive-sqlite-native:1.1,linux/riscv64,2,1754399646,1754399649,1754399652,2.955,1.543,1.273,3.191,2.63,
docker,RISCV64,docker.io/matsbror/massive-sqlite-native:1.1,linux/riscv64,3,1754399653,1754399656,1754399659,3.153,1.761,1.267,3.08,2.63,
docker,RISCV64,docker.io/matsbror/massive-sqlite-native:1.1,linux/riscv64,4,1754399660,1754399663,1754399666,2.698,1.576,1.27,3.226,2.63,
