Runtime,WASM_Runtime,Image,Platform,Iteration,Start Timestamp,Pull Complete Timestamp,Execution Complete Timestamp,Pull Time (s),Container Start to Main Time (s),Main to Elapsed Time (s),Total Execution Time (s),Host Size (MB)
"containerd","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",6,1754399714,1754399716,1754399717,1.765,"1.372",".359",1.306,0.000
"containerd","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",7,1754399718,1754399720,1754399721,1.769,"1.230",".362",1.333,0.000
"containerd","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",8,1754399722,1754399724,1754399725,1.769,"1.081",".364",1.320,0.000
"containerd","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",9,1754399726,1754399728,1754399729,1.868,"1.047",".362",1.327,0.000
"containerd","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",10,1754399730,1754399732,1754399733,1.869,".990",".360",1.294,0.000
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",1,1754399734,1754399735,1754399742,1.664,"1.136","6.433",6.947,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",2,1754399743,1754399744,1754399751,1.674,"1.378","6.414",6.905,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",3,1754399752,1754399754,1754399761,1.688,".607","6.439",6.937,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",4,1754399761,1754399763,1754399770,1.693,".864","6.399",6.893,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",5,1754399771,1754399772,1754399779,1.669,"1.067","6.377",6.884,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",6,1754399780,1754399781,1754399788,1.651,"1.221","6.415",6.912,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",7,1754399789,1754399791,1754399797,1.652,".414","6.368",6.858,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",8,1754399798,1754399800,1754399807,1.648,".548","6.498",6.985,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",9,1754399807,1754399809,1754399816,1.655,".848","6.422",6.937,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",10,1754399817,1754399818,1754399825,1.669,"1.084","6.409",6.926,1.64
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",1,1754399826,1754399828,1754399834,1.967,".515","6.389",6.660,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",2,1754399835,1754399837,1754399844,2.067,".995","6.387",6.666,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",3,1754399845,1754399847,1754399853,2.066,".459","6.413",6.680,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",4,1754399854,1754399856,1754399863,2.066,".959","6.421",6.686,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",5,1754399864,1754399866,1754399872,1.967,".356","6.389",6.654,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",6,1754399873,1754399875,1754399882,1.963,".718","6.412",6.674,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",7,1754399882,1754399884,1754399891,1.965,"1.104","6.368",6.628,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",8,1754399892,1754399894,1754399901,2.068,".549","6.434",6.694,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",9,1754399901,1754399903,1754399910,1.966,".957","6.432",6.698,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",10,1754399911,1754399913,1754399919,2.071,".487","6.361",6.630,0.000
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",1,1754399920,1754399922,1754399923,1.656,"1.324",".394",1.606,1.64
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",2,1754399924,1754399926,1754399927,1.719,"1.255",".389",1.564,1.64
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",3,1754399928,1754399930,1754399931,1.678,"1.145",".393",1.595,1.64
