Runtime,WASM_Runtime,Image,Platform,Iteration,Start Timestamp,Pull Complete Timestamp,Execution Complete Timestamp,Pull Time (s),Container Start to Main Time (s),Main to Elapsed Time (s),Total Execution Time (s),Host Size (MB)
"containerd","wasmtime","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",10,1754400686,1754400689,1754400725,2.389,"31.811","3.987",36.053,0.000
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",1,1754400726,1754400728,1754400829,2.219,"3.423","97.392",100.685,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",2,1754400830,1754400832,1754400938,2.146,"8.815","97.562",106.422,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",3,1754400939,1754400941,1754401041,2.122,"2.561","97.908",99.969,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",4,1754401042,1754401045,1754401144,2.159,"1.740","97.732",99.805,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",5,1754401145,1754401148,1754401247,2.101,"1.661","97.583",99.703,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",6,1754401248,1754401250,1754401350,2.050,"2.386","97.433",99.660,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",7,1754401351,1754401353,1754401453,2.087,"2.306","97.891",100.033,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",8,1754401454,1754401456,1754401557,2.126,"2.493","98.558",100.847,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",9,1754401558,1754401561,1754401661,2.327,"1.672","97.991",100.109,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",10,1754401662,1754401664,1754401763,2.189,"2.131","97.310",99.409,1.64
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",1,1754401765,1754401766,1754401864,1.139,"1.302","97.177",98.178,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",2,1754401866,1754401868,1754401968,2.693,"1.721","98.524",99.505,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",3,1754401969,1754401972,1754402070,2.587,"1.362","97.193",98.185,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",4,1754402072,1754402073,1754402172,1.130,"1.231","97.757",98.761,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",5,1754402173,1754402176,1754402275,2.583,"1.106","98.274",99.337,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",6,1754402277,1754402279,1754402378,2.588,"1.599","97.209",98.199,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",7,1754402379,1754402382,1754402480,2.584,".917","97.309",98.299,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",8,1754402481,1754402484,1754402583,2.586,"1.353","97.634",98.617,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",9,1754402584,1754402585,1754402684,1.139,"1.678","97.822",98.839,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",10,1754402686,1754402688,1754402786,2.694,"1.648","97.018",98.026,0.000
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",1,1754402787,1754402790,1754402833,2.167,"33.565","4.125",43.081,1.64
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",2,1754402834,1754402836,1754402880,2.119,"24.934","4.128",43.987,1.64
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",3,1754402881,1754402883,1754402923,2.086,"27.545","4.125",39.462,1.64
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",4,1754402924,1754402926,1754402968,2.400,"33.494","4.119",42.186,1.64
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",5,1754402969,1754402971,1754403011,2.130,"29.182","4.112",39.245,1.64
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",6,1754403012,1754403014,1754403054,2.354,"31.114","4.168",39.912,1.64
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",7,1754403055,1754403057,1754403101,2.037,"32.720","4.064",43.883,1.64
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",8,1754403102,1754403104,1754403150,2.215,"31.166","4.203",46.028,1.64
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",9,1754403151,1754403153,1754403196,2.083,"27.268","4.136",42.774,1.64
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",10,1754403197,1754403199,1754403239,2.183,"28.458","4.094",39.450,1.64
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",1,1754403240,1754403243,1754403294,2.693,"45.628","4.145",51.056,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",2,1754403296,1754403298,1754403338,2.699,"30.208","4.090",39.319,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",3,1754403341,1754403344,1754403380,3.367,"30.538","4.129",35.378,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",4,1754403382,1754403383,1754403427,1.032,"30.656","4.048",44.162,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",5,1754403428,1754403431,1754403468,2.582,"33.068","4.171",37.343,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",6,1754403470,1754403472,1754403516,2.580,"23.996","4.074",43.780,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",7,1754403518,1754403520,1754403563,2.583,"28.371","4.133",43.053,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",8,1754403565,1754403566,1754403607,1.132,"36.672","4.087",40.973,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",9,1754403608,1754403610,1754403657,1.134,"27.463","4.093",47.631,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",10,1754403659,1754403662,1754403693,2.984,"22.407","4.078",31.071,0.000
