Runtime,WASM_Runtime,Image,Platform,Iteration,Start Timestamp,Pull Complete Timestamp,Execution Complete Timestamp,Pull Time (s),Container Start to Main Time (s),Main to Elapsed Time (s),Total Execution Time (s),Host Size (MB)
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",1,1754399777,1754399778,1754399784,1.819,"1.516","5.031",5.971,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",2,1754399785,1754399787,1754399793,1.959,"1.152","5.041",5.943,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",3,1754399794,1754399797,1754399803,2.849,".725","5.084",6.062,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",4,1754399803,1754399805,1754399811,1.889,"1.397","5.088",6.022,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",5,1754399812,1754399814,1754399820,1.725,".856","5.041",5.934,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",6,1754399820,1754399822,1754399828,1.879,"1.395","5.069",5.980,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",7,1754399829,1754399831,1754399837,2.271,"1.383","5.080",6.022,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",8,1754399838,1754399840,1754399846,1.898,"1.083","5.015",5.989,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",9,1754399847,1754399849,1754399855,1.993,".750","5.037",5.925,1.64
"docker","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",10,1754399855,1754399857,1754399863,1.922,"1.323","5.070",5.937,1.64
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",1,1754399864,1754399867,1754399872,2.618,".573","5.052",5.522,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",2,1754399873,1754399876,1754399881,2.335,".386","5.066",5.482,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",3,1754399882,1754399884,1754399890,2.216,"1.067","5.068",5.503,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",4,1754399891,1754399893,1754399898,2.220,".711","5.075",5.535,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",5,1754399899,1754399902,1754399907,2.324,".547","5.048",5.509,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",6,1754399908,1754399910,1754399916,2.218,"1.244","5.045",5.455,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",7,1754399917,1754399919,1754399925,2.220,".870","5.022",5.508,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",8,1754399926,1754399928,1754399934,2.521,".863","5.091",5.500,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",9,1754399934,1754399937,1754399942,2.225,".494","5.081",5.495,0.000
"containerd","wamr","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",10,1754399943,1754399945,1754399951,2.132,"1.135","5.047",5.483,0.000
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",1,1754399952,1754399954,1754399956,2.122,"1.302",".394",1.862,1.64
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",2,1754399956,1754399958,1754399960,1.907,"1.872",".397",1.902,1.64
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",3,1754399961,1754399963,1754399965,2.207,"1.656",".392",1.871,1.64
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",4,1754399966,1754399968,1754399969,1.832,"1.190",".393",1.919,1.64
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",5,1754399970,1754399972,1754399974,1.997,"1.690",".415",1.821,1.64
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",6,1754399975,1754399977,1754399978,1.778,"1.086",".411",1.842,1.64
"docker","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",9,1754399985,1754399987,1754399991,1.253,"3.749",".393",4.268,1.64
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",1,1754399995,1754399997,1754399999,2.216,"1.644",".389",1.392,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",2,1754400000,1754400002,1754400003,2.226,"1.240",".404",1.405,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",3,1754400004,1754400007,1754400008,2.321,".909",".393",1.389,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",4,1754400009,1754400011,1754400013,2.331,"1.653",".401",1.434,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",5,1754400014,1754400016,1754400017,2.241,"1.177",".393",1.341,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",6,1754400018,1754400021,1754400022,2.412,".894",".397",1.407,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",7,1754400023,1754400025,1754400027,2.241,"1.402",".389",1.372,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",8,1754400027,1754400030,1754400031,2.131,".809",".388",1.323,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",9,1754400032,1754400034,1754400035,2.135,"1.264",".399",1.357,0.000
"containerd","wasmer","docker.io/matsbror/massive-sqlite-wasm:1.1","wasm",10,1754400036,1754400038,1754400040,2.134,"1.741",".389",1.342,0.000
